count,date,title,description,org_link,link
322,20151110,유명 신문사 미주법인 <b>IT</b>프로그래머 미국인턴 <b>채용공고</b>!,[해외취업] 유명 신문사 미주법인 <b>IT</b>프로그래머 미국인턴 <b>채용공고</b>! 안녕하세요.... 프로그램 <b>개발</b> 지원 및 Web 운영관리지원 업무를 담당하며 급여는 인터뷰 후 협의 결정하고 인턴쉽 후 취업비자... ,https://blog.naver.com/careerusa/220535031815,https://blog.naver.com/careerusa/220535031815
323,20240722,"2024년 한국주택금융공사 신입직원 <b>채용 공고</b>, NCS 직무기술서... ",여수신상품<b>개발</b> 03010303 여신심사 NCS 직업교육(클릭) 03010502 채권추심 NCS 직업교육(클릭) 20010201... 20010301 <b>IT</b>시스템관리 이상 2024년 한국주택금융공사 신입직원 <b>채용공고</b> 및 ncs 직무기술서와... ,https://blog.naver.com/runplusdev/223521480212,https://blog.naver.com/runplusdev/223521480212
324,20240416,포스코 DX 취업 준비 합격하고 싶다면 읽어보세요 / <b>채용 공고</b>... ,"오늘은 포스코 DX 신입 / 경력직 <b>채용 공고</b>에 대해서 알아보도록 하겠습니다. 1989년에 설림 된 포스코 DX(구 포스코ICT)는 스마트팩토리, <b>IT</b> 서비스, EIC 엔지니어링, 스마트 물류, 스마트홈 등의 사업에... ",https://blog.naver.com/alsldd3/223417604881,https://blog.naver.com/alsldd3/223417604881
325,20140127,<b>채용</b> :: 해외 및 국내 <b>IT</b> 엔지니어 신입 모집 <b>공고</b>(~02/14),"이외에 베트남, 이라크 교육 사업 <b>개발</b> 및 국내 사업에도 총력을 다할 예정이래용~~!!! 올해는 물론... 카프이엔지 <b>채용공고</b> 보러가기 &gt;&gt; 모집<b>공고</b> 접수기간2014년 2월 14일 금요일 24시까지 카프이엔지... ",https://blog.naver.com/incruit1/10184494952,https://blog.naver.com/incruit1/10184494952
326,20240623,대구 서구 비산동 잡코리아 <b>채용공고</b> | 이력서 | 홈페이지 | 공채... ,"대구 서구 비산동 잡코리아 <b>채용공고</b> 이력서 홈페이지 대구 서구 지역에 거주하시거나 이 지역으로... 및 <b>개발</b>, 기술적 문제 해결 등의 역량을 필요로 합니다. 지원직은 행정 지원, 고객 서비스, <b>데이터</b> 입력 등의... ",https://aiitaaeae.tistory.com/497,https://aiitaaeae.tistory.com/497
327,20240708,정선군 고한읍 고용센터 일자리 | <b>채용공고</b> | 워크넷 | 재택알바... ,"정선군 고한읍 고용센터 일자리 <b>채용공고</b> 워크넷 재 정선군 고한읍 고용센터 일자리 | <b>채용공고</b>... 자기 <b>개발</b>을 동시에 할 수 있습니다. 온라인 설문조사, <b>데이터</b> 입력, 번역, 디자인, 콘텐츠 제작 등 다양한... ",https://waeiaaw.tistory.com/1207,https://waeiaaw.tistory.com/1207
328,20210112,[잡코리아 팁] 2021년 1월 신입/경력 <b>채용공고</b> 모음!,"1월 둘째 주 눈여겨볼 <b>공고</b> 1월 둘째 주에는 <b>IT</b>/자동차/에너지 분야의 핵심 부품사업을 영위하는 코스닥 상장기업 아모텍, 구매 SCM 솔루션 컨설팅 분야의 강소기업 엠로의 신입<b>채용</b>이 마감됩니다. 아모텍은... ",https://blog.naver.com/jobkorea1/222205122921,https://blog.naver.com/jobkorea1/222205122921
329,20240601,기술 <b>개발</b> 편성 방송 경영 직무 신입사원 공개 <b>채용 공고</b> 안내... ,/ 취재기자 시사교양 PD AI 기술 <b>개발</b> 편성 방송 경영 직무 신입사원 공개 <b>채용 공고</b> 안내 / 자소서... 빅<b>데이터</b> 기반의 콘텐츠 운용 및 유통 전략을 수립해 운용할 예정입니다. 더불어 토종 OTT인 WAVVE 가입자를... ,https://blog.naver.com/alsldd3/223465599739,https://blog.naver.com/alsldd3/223465599739
330,20240814,[<b>채용공고</b>] LG이노텍｜[CTO부문]생성형AI 우수인재 모집... ,"솔루션 <b>개발</b> – Prompt Engineering을 통한 언어 학습 <b>데이터</b>셋 구축 [필수역량] – 자연어 모델... 본 <b>공고</b>에 지원 시 상시 모집 인재 Pool로 활용되며, <b>채용</b> Needs 발생 시 지원서를 비정기적으로 검토하고... ",https://blog.naver.com/inthisworkofficial/223547501995,https://blog.naver.com/inthisworkofficial/223547501995
331,20180820,"메릴랜드주 식품회사 미국인턴쉽 <b>채용공고</b>, <b>IT</b> Support... ","메릴랜드주 식품회사 미국인턴쉽 <b>채용공고</b>, <b>IT</b> Support/Admin&amp;Accounting 포지션! 안녕하세요.... programming <b>개발</b> 작업에 투입되어 <b>IT</b> 팀장님을 도와 관련 업무를 지원하는 일도 있다고 합니다. Programming... ",https://blog.naver.com/careerusa/221342471659,https://blog.naver.com/careerusa/221342471659
332,20240719,재택알바 | 주부 여성 일자리 | 구인구직 | 워크넷 | <b>채용공고</b> 모음,"워크넷 | <b>채용공고</b> 모음 바쁜 일상 속에서 새로운 일자리를 찾거나, 시간과 장소에 제약 없이 일하고... 일자리 <b>IT</b>/디지털: 웹 디자인, 앱 <b>개발</b>, <b>데이터</b> 분석 등 4차 산업혁명 시대에 발맞춘 미래 지향적인 분야... ",https://geniushades.tistory.com/1381,https://geniushades.tistory.com/1381
333,20240307,"한국수출입은행 <b>채용 공고</b> 및 자소서 항목, 연봉, 경쟁률... ","<b>채용 공고</b> 및 자소서 항목, 연봉, 경쟁률(2024년 상반기 신입행원) 한국수출입은행 <b>채용</b> 분야 및 인원 총 50명의 신입행원을 선발하는 이번 모집은 경영 11명, 경제 11명, 법학 3명, 토목 4명, 환경 4명, 조선 2명, <b>IT</b>... ",https://blog.naver.com/dr_gong_/223376479811,https://blog.naver.com/dr_gong_/223376479811
334,20231128,[신협중앙회] 2024년 신입직원(일반직군 및 <b>IT</b>직군) <b>채용 공고</b>,"2024년 신협중앙회 신입직원(일반직군 및 <b>IT</b>직군) <b>채용 공고</b> * 일반직군 4급을(주임) 기획･총무... 설계･<b>개발</b>, <b>데이터</b>베이스 구축, 프로그래밍 언어 활용, 정보시스템 구축 관리 * 온라인 코딩테스트... ",https://blog.naver.com/careermarathon/223277142052,https://blog.naver.com/careermarathon/223277142052
335,20170117,2017년 일본 <b>IT</b>응용 프로그램<b>개발</b>(신입/경력) 정규직 <b>채용공고</b>,"■ JOB Description ■ &lt;&lt; 일본취업 일본 <b>IT</b>응용 프로그램<b>개발</b> 정규직 <b>채용공고</b>(신입/경력) &gt;&gt; (주)글로컬컨설팅 (고용노동부 국외취업정식승인기관) Address No.811, 6, Teheran-ro52-gil... ",https://blog.naver.com/cobisuki/220913655127,https://blog.naver.com/cobisuki/220913655127
336,20240723,익산시 정족동 고용센터 일자리 | <b>채용공고</b> | 구인구직 | 워크넷... ,"익산시 정족동 고용센터 일자리 <b>채용공고</b> 구인구직 익산시 정족동 고용센터 일자리 | <b>채용공고</b>... 온라인 <b>채용</b> 사이트 지원 재택알바 <b>데이터</b> 입력 재택근무 가능, 급여 건별 지급 2023-10-10 ~ 2023-10-20 온라인 <b>채용</b>... ",https://aiitaaeae.tistory.com/856,https://aiitaaeae.tistory.com/856
337,20240809,서울 동대문구 용두동 잡코리아 일자리 | 사람인 | <b>채용공고</b>... ,"사람인 <b>IT</b>/<b>개발</b> 서울 동대문구 용두동 2명 2024-04-30 쿠팡 물류센터 <b>채용</b> 정보 주부 여성 알바 기회 쿠팡... 사무직: <b>데이터</b> 입력, 전화 응대, 문서 작업 등의 재택 알바를 할 수 있습니다. 교육: 학원, 과외 등에서... ",https://aiitaaeae.tistory.com/1073,https://aiitaaeae.tistory.com/1073
338,20220517,현대산업<b>개발</b> <b>채용</b> 시작! <b>채용 공고</b>/자소서 항목/자소서 예시... ,[현대산업<b>개발</b> <b>채용</b>] 현대산업<b>개발</b> <b>채용 공고</b> 경력사원은 많은 부문에서 <b>채용</b>을 실시하는데요. 건축/안전/토목/조경/설비/재무/회계/법무 /홍보/인사/설계/<b>IT</b>기획 등에서 현대산업<b>개발</b> <b>채용</b>을 실시한다고 해요.... ,https://blog.naver.com/dufrhd202020/222730894402,https://blog.naver.com/dufrhd202020/222730894402
339,20240716,인천 계양구 병방동 고용센터 일자리 | <b>채용공고</b> | 구인구직... ,"병방동 인기 직종 소개 <b>IT</b>/정보통신: 인천 지역은 <b>IT</b>/정보통신 산업이 발달하여, 관련 직종의 수요가 높습니다. 특히, 소프트웨어 <b>개발</b>, <b>데이터</b> 분석, 웹 디자인 등의 분야에서 인력 <b>채용</b>이 활발합니다. 제조/생산... ",https://geniushades.tistory.com/1367,https://geniushades.tistory.com/1367
340,20210927,[추천<b>채용공고</b>] 비서<b>채용</b>... 비투엔비서/<b>데이터</b>가 미래다!... ,"2 비투엔이라는 회사의 경우엔, 빅<b>데이터</b>·AI 전문기업, <b>IT</b>전략 컨설팅, BigData 분석 Platform 설계/구축... 8 공기업 임원비서직 <b>채용 공고</b>도 올라왔습니다. 인천 도시가스 <b>채용</b>인데, 서류전형 및 면접전형만... ",https://blog.naver.com/hogamgoguma/222518405556,https://blog.naver.com/hogamgoguma/222518405556
